Summary:	This is a 21x21 grid;
Number of Dimensions:	2;
Coordinate System:	Cartesian_2;
Ordered:	true;
Is Electric Field Defined:	false;
7	-20	-20
6.24	-18	-20
5.56	-16	-20
4.96	-14	-20
4.44	-12	-20
4	-10	-20
3.64	-8	-20
3.36	-6	-20
3.16	-4	-20
3.04	-2	-20
3	0	-20
3.04	2	-20
3.16	4	-20
3.36	6	-20
3.64	8	-20
4	10	-20
4.44	12	-20
4.96	14	-20
5.56	16	-20
6.24	18	-20
7	20	-20
7.2	-20	-18
6.44	-18	-18
5.76	-16	-18
5.16	-14	-18
4.64	-12	-18
4.2	-10	-18
3.84	-8	-18
3.56	-6	-18
3.36	-4	-18
3.24	-2	-18
3.2	0	-18
3.24	2	-18
3.36	4	-18
3.56	6	-18
3.84	8	-18
4.2	10	-18
4.64	12	-18
5.16	14	-18
5.76	16	-18
6.44	18	-18
7.2	20	-18
7.4	-20	-16
6.64	-18	-16
5.96	-16	-16
5.36	-14	-16
4.84	-12	-16
4.4	-10	-16
4.04	-8	-16
3.76	-6	-16
3.56	-4	-16
3.44	-2	-16
3.4	0	-16
3.44	2	-16
3.56	4	-16
3.76	6	-16
4.04	8	-16
4.4	10	-16
4.84	12	-16
5.36	14	-16
5.96	16	-16
6.64	18	-16
7.4	20	-16
7.6	-20	-14
6.84	-18	-14
6.16	-16	-14
5.56	-14	-14
5.04	-12	-14
4.6	-10	-14
4.24	-8	-14
3.96	-6	-14
3.76	-4	-14
3.64	-2	-14
3.6	0	-14
3.64	2	-14
3.76	4	-14
3.96	6	-14
4.24	8	-14
4.6	10	-14
5.04	12	-14
5.56	14	-14
6.16	16	-14
6.84	18	-14
7.6	20	-14
7.8	-20	-12
7.04	-18	-12
6.36	-16	-12
5.76	-14	-12
5.24	-12	-12
4.8	-10	-12
4.44	-8	-12
4.16	-6	-12
3.96	-4	-12
3.84	-2	-12
3.8	0	-12
3.84	2	-12
3.96	4	-12
4.16	6	-12
4.44	8	-12
4.8	10	-12
5.24	12	-12
5.76	14	-12
6.36	16	-12
7.04	18	-12
7.8	20	-12
8	-20	-10
7.24	-18	-10
6.56	-16	-10
5.96	-14	-10
5.44	-12	-10
5	-10	-10
4.64	-8	-10
4.36	-6	-10
4.16	-4	-10
4.04	-2	-10
4	0	-10
4.04	2	-10
4.16	4	-10
4.36	6	-10
4.64	8	-10
5	10	-10
5.44	12	-10
5.96	14	-10
6.56	16	-10
7.24	18	-10
8	20	-10
8.2	-20	-8
7.44	-18	-8
6.76	-16	-8
6.16	-14	-8
5.64	-12	-8
5.2	-10	-8
4.84	-8	-8
4.56	-6	-8
4.36	-4	-8
4.24	-2	-8
4.2	0	-8
4.24	2	-8
4.36	4	-8
4.56	6	-8
4.84	8	-8
5.2	10	-8
5.64	12	-8
6.16	14	-8
6.76	16	-8
7.44	18	-8
8.2	20	-8
8.4	-20	-6
7.64	-18	-6
6.96	-16	-6
6.36	-14	-6
5.84	-12	-6
5.4	-10	-6
5.04	-8	-6
4.76	-6	-6
4.56	-4	-6
4.44	-2	-6
4.4	0	-6
4.44	2	-6
4.56	4	-6
4.76	6	-6
5.04	8	-6
5.4	10	-6
5.84	12	-6
6.36	14	-6
6.96	16	-6
7.64	18	-6
8.4	20	-6
8.6	-20	-4
7.84	-18	-4
7.16	-16	-4
6.56	-14	-4
6.04	-12	-4
5.6	-10	-4
5.24	-8	-4
4.96	-6	-4
4.76	-4	-4
4.64	-2	-4
4.6	0	-4
4.64	2	-4
4.76	4	-4
4.96	6	-4
5.24	8	-4
5.6	10	-4
6.04	12	-4
6.56	14	-4
7.16	16	-4
7.84	18	-4
8.6	20	-4
8.8	-20	-2
8.04	-18	-2
7.36	-16	-2
6.76	-14	-2
6.24	-12	-2
5.8	-10	-2
5.44	-8	-2
5.16	-6	-2
4.96	-4	-2
4.84	-2	-2
4.8	0	-2
4.84	2	-2
4.96	4	-2
5.16	6	-2
5.44	8	-2
5.8	10	-2
6.24	12	-2
6.76	14	-2
7.36	16	-2
8.04	18	-2
8.8	20	-2
9	-20	0
8.24	-18	0
7.56	-16	0
6.96	-14	0
6.44	-12	0
6	-10	0
5.64	-8	0
5.36	-6	0
5.16	-4	0
5.04	-2	0
5	0	0
5.04	2	0
5.16	4	0
5.36	6	0
5.64	8	0
6	10	0
6.44	12	0
6.96	14	0
7.56	16	0
8.24	18	0
9	20	0
9.2	-20	2
8.44	-18	2
7.76	-16	2
7.16	-14	2
6.64	-12	2
6.2	-10	2
5.84	-8	2
5.56	-6	2
5.36	-4	2
5.24	-2	2
5.2	0	2
5.24	2	2
5.36	4	2
5.56	6	2
5.84	8	2
6.2	10	2
6.64	12	2
7.16	14	2
7.76	16	2
8.44	18	2
9.2	20	2
9.4	-20	4
8.64	-18	4
7.96	-16	4
7.36	-14	4
6.84	-12	4
6.4	-10	4
6.04	-8	4
5.76	-6	4
5.56	-4	4
5.44	-2	4
5.4	0	4
5.44	2	4
5.56	4	4
5.76	6	4
6.04	8	4
6.4	10	4
6.84	12	4
7.36	14	4
7.96	16	4
8.64	18	4
9.4	20	4
9.6	-20	6
8.84	-18	6
8.16	-16	6
7.56	-14	6
7.04	-12	6
6.6	-10	6
6.24	-8	6
5.96	-6	6
5.76	-4	6
5.64	-2	6
5.6	0	6
5.64	2	6
5.76	4	6
5.96	6	6
6.24	8	6
6.6	10	6
7.04	12	6
7.56	14	6
8.16	16	6
8.84	18	6
9.6	20	6
9.8	-20	8
9.04	-18	8
8.36	-16	8
7.76	-14	8
7.24	-12	8
6.8	-10	8
6.44	-8	8
6.16	-6	8
5.96	-4	8
5.84	-2	8
5.8	0	8
5.84	2	8
5.96	4	8
6.16	6	8
6.44	8	8
6.8	10	8
7.24	12	8
7.76	14	8
8.36	16	8
9.04	18	8
9.8	20	8
10	-20	10
9.24	-18	10
8.56	-16	10
7.96	-14	10
7.44	-12	10
7	-10	10
6.64	-8	10
6.36	-6	10
6.16	-4	10
6.04	-2	10
6	0	10
6.04	2	10
6.16	4	10
6.36	6	10
6.64	8	10
7	10	10
7.44	12	10
7.96	14	10
8.56	16	10
9.24	18	10
10	20	10
10.2	-20	12
9.44	-18	12
8.76	-16	12
8.16	-14	12
7.64	-12	12
7.2	-10	12
6.84	-8	12
6.56	-6	12
6.36	-4	12
6.24	-2	12
6.2	0	12
6.24	2	12
6.36	4	12
6.56	6	12
6.84	8	12
7.2	10	12
7.64	12	12
8.16	14	12
8.76	16	12
9.44	18	12
10.2	20	12
10.4	-20	14
9.64	-18	14
