Summary:	This is a 31x10 grid;
Number of Dimensions:	2;
Coordinate System:	Spherical_2;
Ordered:	true;
Is Electric Field Defined:	false;
5	0.2	0
5.0025	0.5	0
5.01	1	0
5.0225	1.5	0
5.04	2	0
5.0625	2.5	0
5.09	3	0
5.1225	3.5	0
5.16	4	0
5.2025	4.5	0
5.25	5	0
5.3025	5.5	0
5.36	6	0
5.4225	6.5	0
5.49	7	0
5.5625	7.5	0
5.64	8	0
5.7225	8.5	0
5.81	9	0
5.9025	9.5	0
6	10	0
6.1025	10.5	0
6.21	11	0
6.3225	11.5	0
6.44	12	0
6.5625	12.5	0
6.69	13	0
6.8225	13.5	0
6.96	14	0
7.1025	14.5	0
7.25	15	0
5.03	0.2	0.3
5.0325	0.5	0.3
5.04	1	0.3
5.0525	1.5	0.3
5.07	2	0.3
5.0925	2.5	0.3
5.12	3	0.3
5.1525	3.5	0.3
5.19	4	0.3
5.2325	4.5	0.3
5.28	5	0.3
5.3325	5.5	0.3
5.39	6	0.3
5.4525	6.5	0.3
5.52	7	0.3
5.5925	7.5	0.3
5.67	8	0.3
5.7525	8.5	0.3
5.84	9	0.3
5.9325	9.5	0.3
6.03	10	0.3
6.1325	10.5	0.3
6.24	11	0.3
6.3525	11.5	0.3
6.47	12	0.3
6.5925	12.5	0.3
6.72	13	0.3
6.8525	13.5	0.3
6.99	14	0.3
7.1325	14.5	0.3
7.28	15	0.3
5.06	0.2	0.6
5.0625	0.5	0.6
5.07	1	0.6
5.0825	1.5	0.6
5.1	2	0.6
5.1225	2.5	0.6
5.15	3	0.6
5.1825	3.5	0.6
5.22	4	0.6
5.2625	4.5	0.6
5.31	5	0.6
5.3625	5.5	0.6
5.42	6	0.6
5.4825	6.5	0.6
5.55	7	0.6
5.6225	7.5	0.6
5.7	8	0.6
5.7825	8.5	0.6
5.87	9	0.6
5.9625	9.5	0.6
6.06	10	0.6
6.1625	10.5	0.6
6.27	11	0.6
6.3825	11.5	0.6
6.5	12	0.6
6.6225	12.5	0.6
6.75	13	0.6
6.8825	13.5	0.6
7.02	14	0.6
7.1625	14.5	0.6
7.31	15	0.6
5.09	0.2	0.9
5.0925	0.5	0.9
5.1	1	0.9
5.1125	1.5	0.9
5.13	2	0.9
5.1525	2.5	0.9
5.18	3	0.9
5.2125	3.5	0.9
5.25	4	0.9
5.2925	4.5	0.9
5.34	5	0.9
5.3925	5.5	0.9
5.45	6	0.9
5.5125	6.5	0.9
5.58	7	0.9
